Id,franchise,picked,playername,position,team,bye
473,0,0,Cody Parkey,K,CHI,5
474,0,0,Randy Bullock,K,CIN,9
475,0,0,Georgio Tavecchio,K,OAK,7
476,0,0,Josh Lambo,K,JAC,9
477,0,0,Mason Crosby,K,GB,7
478,0,0,Connor Barth,K,CHI,5
479,0,0,Mike Nugent,K,CHI,5
480,0,0,Jason Myers,K,SEA,7
481,0,0,Nick Novak,K,LAC,8
482,0,0,Cairo Santos,K,NYJ,11
483,0,0,Nick Folk,K,TB,5
484,0,0,Caleb Sturgis,K,LAC,8
485,0,0,Sebastian Janikowski,K,SEA,7
486,0,0,Dan Carpenter,K,BUF,11
487,0,0,Roberto Aguayo,K,TB,5
488,0,0,Andrew Franks,K,MIA,11
489,0,0,Josh Brown,K,NYG,9
490,0,0,Daniel Carlson,K,MIN,10
491,0,0,Jason Sanders,K,MIA,11
492,0,0,Rams,D/ST,LAR,12
493,0,0,Jaguars,D/ST,JAC,9
494,0,0,Bengals,D/ST,CIN,9
495,0,0,Chiefs,D/ST,KC,12
496,0,0,Patriots,D/ST,NE,11
497,0,0,Vikings,D/ST,MIN,9
498,0,0,Giants,D/ST,NYG,9
499,0,0,Panthers,D/ST,CAR,4
500,0,0,Texans,D/ST,HOU,10
501,0,0,Cardinals,D/ST,ARI,9
502,0,0,Ravens,D/ST,BAL,10
503,0,0,Lions,D/ST,DET,6
504,0,0,Eagles,D/ST,PHI,9
505,0,0,Chargers,D/ST,LAC,8
506,0,0,Saints,D/ST,NO,6
507,0,0,Bears,D/ST,CHI,5
508,0,0,Seahawks,D/ST,SEA,7
509,0,0,Steelers,D/ST,PIT,7
510,0,0,Redskins,D/ST,WAS,4
511,0,0,Broncos,D/ST,DEN,10
512,0,0,Buccaneers,D/ST,TB,5
513,0,0,Cowboys,D/ST,DAL,8
514,0,0,Titans,D/ST,TEN,8
515,0,0,Bills,D/ST,BUF,11
516,0,0,Falcons,D/ST,ATL,8
517,0,0,Packers,D/ST,GB,7
518,0,0,Dolphins,D/ST,MIA,11
519,0,0,Colts,D/ST,IND,9
520,0,0,Fortyniners,D/ST,SF,11
521,0,0,Browns,D/ST,CLE,11
522,0,0,Jets,D/ST,NYJ,11
523,0,0,Raiders,D/ST,OAK,7
